Data,Brasil
2020-03-22,15.48
2020-03-23,12.78
2020-03-24,11.48
2020-03-25,8.59
2020-03-26,17.85
2020-03-27,18.59
2020-03-28,18.00
2020-03-29,13.07
2020-03-30,11.96
2020-03-31,42.15
2020-04-01,41.37
2020-04-02,39.85
2020-04-03,42.44
2020-04-04,45.26
2020-04-05,31.56
2020-04-06,34.30
2020-04-07,61.52
2020-04-08,81.85
2020-04-09,71.48
2020-04-10,65.96
2020-04-11,40.33
2020-04-12,53.41
2020-04-13,46.70
2020-04-14,67.85
2020-04-15,113.26
2020-04-16,77.96
2020-04-17,120.63
2020-04-18,108.04
2020-04-19,76.11
2020-04-20,71.37
2020-04-21,92.52
2020-04-22,99.19
2020-04-23,138.33
2020-04-24,129.74
2020-04-25,204.22
2020-04-26,125.15
2020-04-27,170.85
2020-04-28,199.44
2020-04-29,232.44
2020-04-30,267.33
2020-05-01,219.22
2020-05-02,188.78
2020-05-03,175.96
2020-05-04,245.67
2020-05-05,256.85
2020-05-06,389.00
2020-05-07,366.22
2020-05-08,378.59
2020-05-09,393.00
2020-05-10,250.37
2020-05-11,208.59
2020-05-12,342.89
2020-05-13,421.67
2020-05-14,516.44
2020-05-15,566.85
2020-05-16,552.56
2020-05-17,294.00
2020-05-18,486.67
2020-05-19,644.74
2020-05-20,738.93
2020-05-21,685.48
2020-05-22,770.48
2020-05-23,611.41
2020-05-24,585.67
2020-05-25,432.85
2020-05-26,604.59
2020-05-27,762.93
2020-05-28,978.41
2020-05-29,997.33
2020-05-30,1232.37
2020-05-31,583.70
2020-06-01,453.59
2020-06-02,1071.70
2020-06-03,1060.48
2020-06-04,1145.37
2020-06-05,1141.85
2020-06-06,1002.78
2020-06-07,700.44
2020-06-08,579.78
2020-06-09,1188.56
2020-06-10,1219.00
2020-06-11,1126.37
2020-06-12,962.30
2020-06-13,803.85
2020-06-14,633.70
2020-06-15,764.70
2020-06-16,1293.26
2020-06-17,1192.15
2020-06-18,843.15
2020-06-19,2028.56
2020-06-20,1283.93
2020-06-21,646.63
2020-06-22,793.78
2020-06-23,1460.59
2020-06-24,1582.41
2020-06-25,1462.33
2020-06-26,1735.56
2020-06-27,1433.07
2020-06-28,1128.74
2020-06-29,890.81
2020-06-30,1253.56
2020-07-01,1730.07
2020-07-02,1781.67
2020-07-03,1563.81
2020-07-04,1404.56
2020-07-05,964.85
